1253,10637,5,"1000049TF","1.593","0.000","0.000"
1254,8870,5,"1000104PZ","1.186","0.000","0.000"
1255,6722,5,"1000131PZ","2.090","0.000","0.000"
1256,10236,5,"1000136PZ","1.935","0.000","0.000"
1257,11187,5,"1000139PZ","3.971","0.000","0.000"
1258,1567,5,"1000149PZ","4.619","0.000","0.000"
1259,1601,5,"1000158PZ","3.480","0.000","0.000"
1260,9279,5,"1000167TF","4.782","0.000","0.000"
1261,1617,5,"1000214PZ","2.595","0.000","0.000"
1262,11478,5,"1000291PZ","2.128","0.000","0.000"
1263,11519,5,"1000479TF","0.853","0.000","0.000"
1264,1547,5,"1000570PZ","2.127","0.000","0.000"
1265,1557,5,"1000576PZ","1.861","0.000","0.000"
1266,1542,5,"1001541PZ","1.629","0.000","0.000"
1267,260,5,"1001727CP","1.000","0.000","0.000"
1268,4273,5,"1001728CP","1.320","0.000","0.000"
1269,1546,5,"1001751PZ","2.192","0.000","0.000"
1270,1548,5,"1001817PZ","2.050","0.000","0.000"
1271,1506,5,"1001868TF","1.594","0.000","0.000"
1272,10391,5,"1001875PZ","5.715","0.000","0.000"
1273,2463,5,"1002063PZ","1.189","0.000","0.000"
1274,1515,5,"1002076TF","1.594","0.000","0.000"
1275,6202,5,"1003106PZ","1.241","0.000","0.000"
1276,11202,5,"1008932PZ","6.892","0.000","0.000"
1278,6515,5,"1002651PZ","3.898","0.000","0.000"
1279,11241,5,"1010250PZ","5.743","0.000","0.000"
1280,9880,5,"1200066CT","6.464","0.000","0.000"
1281,10219,5,"1200075CT","6.464","0.000","0.000"
1282,3957,5,"1200271CT","3.930","0.000","0.000"
1283,91,5,"1200421CP","1.437","0.000","0.000"
1284,7232,5,"1202128CT","3.591","0.000","0.000"
1285,9882,5,"1202715CT","6.464","0.000","0.000"
1286,11277,5,"1203003CT","1.660","0.000","0.000"
1287,11136,5,"1203005CT","1.660","0.000","0.000"
1288,11136,5,"7894900087079","1.660","0.000","0.000"
1289,11277,5,"7894900087130","1.660","0.000","0.000"
1290,10637,5,"7894900559019","1.590","0.000","0.000"
1291,777,2,"000002","170.000","30.000","0.000"
1292,781,2,"000037","179.000","30.000","0.000"
1293,3564,15,"8","63.000","27.000","0.000"
1294,1090,15,"3","263.010","50.000","0.000"
1295,7536,15,"33","61.000","12.000","0.000"
